식품명,1회제공량,에너지(kcal),단백질(g),지방(g),탄수화물(g),총당류(g)
"귀리, 겉귀리, 도정, 생것",100,380,11.4,7.35,67.71,0.32
"귀리, 쌀귀리, 도정, 생것",100,388,11.14,8.9,66.66,0.91
"귀리, 쌀귀리, 대양, 도정, 생것",100,386,11.51,8.78,66.1,0.91
"귀리, 쌀귀리, 조양, 도정, 생것",100,390,10.78,9.01,67.23,0.91
"귀리, 쌀귀리, 도정, 밥",100,218,6.51,5.36,36.54,0.42
"귀리, 쌀귀리, 대양, 도정, 밥",100,215,6.71,5.13,36.09,0.43
"귀리, 쌀귀리, 조양, 도정, 밥",100,221,6.31,5.59,36.98,0.41
"귀리, 오트밀",100,382,13.2,8.2,64.9,-
"기장, 도정, 생것",100,360,11.2,1.9,74.6,-
"기장, 찰기장, 도정, 생것",100,371,13.63,3.77,69.65,0.46
"기장, 찰기장, 이백찰, 도정, 생것",100,373,13.72,4.03,69.49,0.61
"기장, 찰기장, 한라찰, 도정, 생것",100,373,12.8,4.35,69.78,0.61
"기장, 찰기장, 황실찰, 도정, 생것",100,368,15.55,3.62,67.42,0.61
"메밀, 도정, 생것",100,363,13.64,3.38,67.84,0.3
"메밀, 도정, 가루",100,374,12.96,3.29,71.36,0.3
"메밀 국수, 생것",100,291,7.59,0.96,61.14,0
"메밀 국수, 생것, 삶은것",100,124,3.54,0.44,25.73,0
"메밀 국수, 말린것",100,372,13.58,1.27,74.41,2.77
"메밀 국수, 말린것, 삶은것",100,114,4.28,0.4,22.65,0
"메밀 냉면, 말린것",100,360,10.74,1.44,73.66,0
"메밀 냉면, 말린것, 삶은것",100,141,4.22,0.59,28.71,0
메밀묵,100,58,0.86,0.23,12.8,0
"메밀묵, 가루",100,371,8.33,2.04,77.39,0.3
"멥쌀, 배아미, 생것",100,343,6.5,2,75.8,0.6
"멥쌀, 백미, 생것",100,366,6.81,1.05,78.74,0.5
"멥쌀, 백미, 고아미2호, 생것",100,362,8.4,2.04,74.3,1.81
"멥쌀, 백미, 골든퀸3호, 생것",100,354,6.07,0.67,77.23,0.03
"멥쌀, 백미, 금강1호, 생것",100,369,6.69,1.1,79.46,0.82
"멥쌀, 백미, 남찬, 생것",100,366,6.85,1.34,78.14,0.89
"멥쌀, 백미, 도담쌀, 생것",100,360,6.97,1.14,76.91,0.31
"멥쌀, 백미, 미품, 생것",100,361,7.77,0.81,76.89,0.18
"멥쌀, 백미, 보람찬, 생것",100,370,7.16,1.53,78.36,0.46
"멥쌀, 백미, 삼광, 생것",100,367,6.31,0.9,79.71,0.16
"멥쌀, 백미, 새일미, 생것",100,366,6.92,1.04,78.57,0.15
"멥쌀, 백미, 새추청벼, 생것",100,366,6.1,0.2,80.9,-
"멥쌀, 백미, 설갱, 생것",100,363,6.71,1.04,78.14,0.37
"멥쌀, 백미, 수라벼, 생것",100,346,5.7,0.1,76.7,-
"멥쌀, 백미, 신동진, 생것",100,361,6.06,1.09,78.01,0.09
"멥쌀, 백미, 알찬미, 생것",100,374,6.02,1.57,80.36,1.03
"멥쌀, 백미, 영호진미, 생것",100,371,5.72,1.54,79.87,0.81
"멥쌀, 백미, 예찬, 생것",100,363,6.6,0.75,78.78,0.76
"멥쌀, 백미, 오대, 생것",100,371,7.38,0.93,79.46,0.47
"멥쌀, 백미, 운광, 생것",100,365,6.2,0.99,79.1,0.22
"멥쌀, 백미, 일미벼, 생것",100,372,7.7,1,79.3,-
"멥쌀, 백미, 일품, 생것",100,367,7.06,1.12,78.52,0.43
"멥쌀, 백미, 일품벼, 생것",100,353,5.7,0.1,78.5,-
"멥쌀, 백미, 추청벼, 생것",100,373,6.7,0.6,81.4,-
"멥쌀, 백미, 친들, 생것",100,364,6.43,0.77,79.09,0.79
"멥쌀, 백미, 큰눈벼, 생것",100,375,6.3,1,81.4,-
"멥쌀, 백미, 통일벼, 생것",100,375,8.3,0.6,80.3,-
"멥쌀, 백미, 팔방미, 생것",100,366,8.33,0.94,77.32,0.1
"멥쌀, 백미, 하이아미, 생것",100,367,7.35,1.05,78.46,0.43
"멥쌀, 백미, 한가루, 생것",100,373,7.11,1.05,80.03,1.42
"멥쌀, 백미, 한아름4호, 생것",100,369,7.13,0.88,79.3,1.06
"멥쌀, 백미, 해담쌀, 생것",100,371,6.65,0.93,80.24,1.17
"멥쌀, 백미, 해들, 생것",100,365,7.33,1.34,77.39,0.38
"멥쌀, 백미, 해품, 생것",100,362,8.23,0.56,77.3,0.09
"멥쌀, 백미, 향미벼, 생것",100,368,7,0.6,79.9,-
"멥쌀, 백미, 호품벼, 생것",100,354,5.91,0.73,77.21,0.04
"멥쌀, 백미, 히토메보레, 생것",100,364,6.5,0.3,80,-
"멥쌀, 백미, 밭벼, 생것",100,331,9.3,0.9,74.5,-0.3
"멥쌀, 백미, 밥",100,146,2.65,0.33,31.71,0.01
"멥쌀, 백미, 농림나1호, 밥",100,213,2.2,0.1,48.5,-
"멥쌀, 백미, 밭벼, 밥",100,157,3.5,0.3,36.1,-0.1
"멥쌀, 백미, 삼광, 밥",100,146,2.52,0.33,31.71,0
"멥쌀, 백미, 새일미, 밥",100,142,2.67,0.25,30.69,0
"멥쌀, 백미, 새추청벼, 밥",100,153,2.5,0.1,33.8,-
"멥쌀, 백미, 수라벼, 밥",100,159,2.4,-,35.7,-
"멥쌀, 백미, 신동진, 밥",100,147,2.53,0.28,32.17,0
"멥쌀, 백미, 오대, 밥",100,151,2.85,0.44,32.28,0.04
"멥쌀, 백미, 일품벼, 밥",100,156,2.6,0.1,34.6,-
"멥쌀, 백미, 추청벼, 밥",100,151,2.4,-,33.7,-
"멥쌀, 백미, 죽",100,53,0.99,0.15,11.45,0
"멥쌀, 백미, 삼광, 죽",100,53,0.89,0.1,11.51,0
"멥쌀, 백미, 새일미, 죽",100,55,1.09,0.17,11.72,0
"멥쌀, 백미, 신동진, 죽",100,53,0.96,0.15,11.42,0
"멥쌀, 백미, 오대, 죽",100,52,1.02,0.18,11.16,0
"멥쌀, 백미, 미음",100,19,-0.3,0,-4.7,0
"멥쌀, 백미, 가루",100,343,6.2,0.9,78.5,0.1
"멥쌀, 칠분도미, 생것",100,348,6.3,1.5,76.6,0.3
"멥쌀, 칠분도미, 농림나1호, 생것",100,370,5.6,1.9,79.2,-
"멥쌀, 칠분도미, 밭벼, 생것",100,359,9.5,1.5,73.4,-0.3
"멥쌀, 칠분도미, 밥",100,160,2.6,0.5,36.7,0.2
"멥쌀, 칠분도미, 농림나1호, 밥",100,205,2.5,0.2,46.2,-
"멥쌀, 칠분도미, 밭벼, 밥",100,155,3.6,0.5,35.7,-0.2
"멥쌀, 칠분도미, 죽",100,68,-1.1,-0.2,-15.6,-0.1
"멥쌀, 칠분도미, 미음",100,20,-0.3,-0.1,-4.6,0
"멥쌀, 현미, 생것",100,357,7.33,2.23,75.92,1.18
"멥쌀, 현미, 고아미2호, 생것",100,359,9.17,4.11,71,3.17
"멥쌀, 현미, 골든퀸3호, 생것",100,357,6.16,2.01,77.26,0.5
"멥쌀, 현미, 금강1호, 생것",100,365,7.08,2.72,77.11,0.57
"멥쌀, 현미, 남찬, 생것",100,355,7.25,2.31,75.26,0.89
"멥쌀, 현미, 농림나1호, 생것",100,371,5.8,4.8,75.3,-
"멥쌀, 현미, 도담쌀, 생것",100,356,7.73,2.85,74.15,1.26
"멥쌀, 현미, 미품, 생것",100,348,8.41,2.07,73.3,0.83
"멥쌀, 현미, 보람찬, 생것",100,355,7.42,2.01,75.74,1.07
"멥쌀, 현미, 삼광, 생것",100,358,6.88,2,76.98,0.92
"멥쌀, 현미, 새일미, 생것",100,357,7.6,2.12,76,1
"멥쌀, 현미, 설갱, 생것",100,356,7.53,2.34,75.36,1.3
"멥쌀, 현미, 신동진, 생것",100,350,6.69,1.98,75.24,0.76
"멥쌀, 현미, 알찬미, 생것",100,365,6.91,2.34,78.09,1.41
"멥쌀, 현미, 영호진미, 생것",100,363,6.21,2.32,78.1,1.28
"멥쌀, 현미, 예찬, 생것",100,356,7.23,2.47,75.25,1.81
"멥쌀, 현미, 오대, 생것",100,363,8.07,2.31,76.53,1.27
"멥쌀, 현미, 운광, 생것",100,355,6.52,2.28,75.94,1.12
"멥쌀, 현미, 일미벼, 생것",100,354,9,1,76.2,-
"멥쌀, 현미, 일품, 생것",100,357,7,2.18,76.37,1.13
"멥쌀, 현미, 일품벼, 생것",100,363,7.4,2,77.8,-
"멥쌀, 현미, 추청벼, 생것",100,362,6.4,2.7,76.9,-
"멥쌀, 현미, 친들, 생것",100,353,6.97,1.98,75.8,1.57
"멥쌀, 현미, 큰눈벼, 생것",100,371,7.3,3,77.9,-
"멥쌀, 현미, 통일벼, 생것",100,362,8.9,1.6,77.2,-
"멥쌀, 현미, 팔방미, 생것",100,358,9.12,2.65,73.74,0.47
"멥쌀, 현미, 하이아미, 생것",100,360,7.41,2.6,75.73,1.15
"멥쌀, 현미, 한가루, 생것",100,361,7.92,2.2,76.38,2.15
"멥쌀, 현미, 한아름4호, 생것",100,363,7.56,2.2,77.23,1.53
"멥쌀, 현미, 해담쌀, 생것",100,366,7.42,2.44,77.58,1.68
"멥쌀, 현미, 해들, 생것",100,356,8.06,2.34,74.99,1.24
"멥쌀, 현미, 해품, 생것",100,349,8.71,1.88,73.53,0.86
"멥쌀, 현미, 호품벼, 생것",100,343,6.3,1.94,73.94,0.33
"멥쌀, 현미, 발아현미, 생것",100,371,7,2.3,79.4,-
"멥쌀, 현미, 적진주, 생것",100,360,7.47,2.48,76.01,1.81
"멥쌀, 현미, 흑미, 생것",100,357,7.7,2.21,75.56,0.94
"멥쌀, 현미, 흑진미, 생것",100,357,7.82,2.11,75.82,1.22
"멥쌀, 현미, 흑진주벼, 생것",100,369,7.9,2.6,77.7,-
"멥쌀, 현미, 밥",100,166,3.47,0.96,35.34,0.4
"멥쌀, 현미, 농림나1호, 밥",100,201,2.8,0.2,46.1,-
"멥쌀, 현미, 밭벼, 밥",100,156,4.1,1,34.3,-1.1
"멥쌀, 현미, 삼광, 밥",100,165,3.5,1.15,34.83,0.38
"멥쌀, 현미, 새일미, 밥",100,172,3.43,1.08,36.67,0.41
"멥쌀, 현미, 신동진, 밥",100,160,3.15,0.76,34.57,0.26
"멥쌀, 현미, 오대, 밥",100,166,3.81,0.87,35.29,0.53
"멥쌀, 현미, 흑진미, 밥",100,174,3.98,1.01,36.83,0.5
"멥쌀, 현미, 죽",100,64,-1.2,-0.4,-15.2,-0.4
"멥쌀, 현미, 미음",100,19,-0.4,-0.1,-4.4,-0.1
"멥쌀밥, 쪄서 말린것",100,373,5.2,0.1,83.7,-
누룽지,100,393,6.8,0.2,86.8,-
"즉석밥, 누룽지",100,415,6.64,0.84,90.98,1.14
"즉석밥, 누룽지, 끓는물 부음",100,69,1.32,0.1,15.06,1.15
"즉석밥, 백미",100,152,2.11,0.28,33.59,1.04
"즉석밥, 잡곡밥(멥쌀, 찹쌀, 흑미, 팥, 기장, 찰수수)",100,150,2.83,0.38,33.76,0.03
멥쌀 과자,100,469,3.2,15.9,78.2,-
"멥쌀 과자, 쌀엿강정, 팽화",100,395,4.11,2.13,89.96,29.97
"멥쌀 과자, 튀밥, 팽화",100,393,8.7,3.9,80.7,-
"멥쌀 국수, 말린것",100,340,9.1,1.5,72.6,-
"멥쌀떡, 가래떡",100,213,3.71,0.37,48.8,0.09
"멥쌀떡, 가래떡, 흑미",100,205,3.5,0,47.8,-
"멥쌀떡, 개피떡(바람떡)",100,207,4.3,0.8,45.6,-
"멥쌀떡, 개피떡(바람떡), 쑥",100,206,4.5,0.8,45.2,-
"멥쌀떡, 꿀떡",100,210,3.09,1.46,46.14,7.39
"멥쌀떡, 무지개떡",100,229,3.5,0.3,53,-
"멥쌀떡, 백설기",100,245,3.99,0.52,53.45,9.61
"멥쌀떡, 백설기, 검정콩",100,229,5.75,1.46,48.31,2.07
"멥쌀떡, 송편, 검정콩",100,200,6.9,0.8,41.2,-
"멥쌀떡, 송편, 팥",100,200,5.4,0.4,43.6,-
"멥쌀떡, 송편, 깨",100,224,5.9,2.74,44.01,6.44
"멥쌀떡, 모싯잎송편, 동부",100,190,5.65,0.66,40.29,3.18
"멥쌀떡, 모싯잎송편, 동부(국내산)",100,190,5.28,0.65,40.68,1.59
"멥쌀떡, 모싯잎송편, 동부(수입산)",100,190,6.03,0.67,39.9,3.18
"멥쌀떡, 시루떡, 팥",100,183,5.83,0.41,38.94,0.94
"멥쌀떡, 절편",100,215,3.69,0.49,49.04,0.1
"멥쌀떡, 증편",100,195,3.02,0.43,44.66,8.74
"미숫가루, 혼합곡물",100,398,14.52,5.48,76.17,1.06
"밀, 도정, 생것",100,333,10.6,1,75.8,-
"밀, 금강밀, 도정, 생것",100,329,13.06,1.28,71.7,0
"밀, 신미찰밀, 도정, 생것",100,334,11.3,1.6,74.2,-
"밀, 흑밀, 도정, 생것",100,328,12.9,0.9,72.5,-
"밀, 통밀, 생것",100,342,13.2,1.5,74.6,-
"밀, 호라산, 말린것",100,334,13.74,1.91,71.16,4.37
"밀, 강력밀가루",100,334,13.59,1.11,72.89,0
"밀, 도넛가루",100,404,8.5,6.8,73.9,-
"밀, 박력밀가루",100,374,9.15,0.94,77.73,0
"밀, 부침가루",100,368,9.8,0.98,75.52,3.49
"밀, 빵가루",100,392,11.95,2.05,77.04,4.74
"밀, 중력밀가루",100,375,10.34,1.01,76.64,0
"밀, 통밀가루",100,365,11.9,1.6,71.5,-
"밀, 튀김가루",100,367,7.22,0.8,78.41,0
"밀, 팬케이크가루",100,394,7.9,4.9,75.9,-
"과자, 건빵",100,419,9.92,8.67,75.37,16.84
"과자, 대추꿀약과",100,428,4.5,16.3,65.7,-
"과자, 마카로니",100,457,11.5,13.96,71.28,0.93
"과자, 만주, 밤",100,330,6.35,2.39,70.86,42.45
"과자, 모나카",100,346,3.35,0.29,82.62,36.58
"과자, 바닐라 웨하스",100,521,4.1,26.9,65.6,-
"과자, 비스킷, 소프트",100,489,5.7,24.93,60.34,23.46
"과자, 비스킷, 하드",100,534,6.68,28.58,62.63,9.21
"과자, 뻥튀기, 원반 모양, 팽화",100,383,11.06,1.07,82.29,1.74
"과자, 사과파이",100,471,5.5,21,64.98,22.83
"과자, 스낵, 새우",100,494,6.04,22.77,66.32,4
"과자, 스낵, 옥수수",100,520,5.25,26.27,65.73,2.01
"과자, 약과",100,422,3.8,13.3,71.7,-
"과자, 전병",100,390,-7,-3.2,-84.9,-48.5
"과자, 전병, 김",100,420,6.7,6.9,82.8,-
"과자, 초코볼",100,501,4.3,22.5,70.2,-
"과자, 초코파이",100,428,4.29,15.57,67.59,31.18
"과자, 쿠키, 땅콩버터",100,493,8.36,20.87,67.97,22.42
"과자, 쿠키, 버터",100,512,6.37,24.52,66.47,16.45
"과자, 쿠키, 초코칩",100,494,5.92,20.55,71.38,23.18
"과자, 쿠키, 통밀",100,471,6.48,17.17,72.73,16.62
"과자, 크랙커",100,513,7,27.8,58.8,-
"과자, 크래커, 땅콩샌드",100,524,7.66,26.24,64.23,14.64
"과자, 크래커, 채소",100,506,7.38,22.62,68.26,12.12
"과자, 크래커, 치즈샌드",100,497,6.08,22.23,68.24,14.69
"국수, 생것",100,291,7.25,0.87,60.09,7.39
"국수, 말린것",100,368,10.38,1.24,74.41,2.57
"국수, 말린것, 삶은것",100,123,3.55,0.44,24.7,0
"국수, 소면, 말린것",100,370,10.36,1.27,74.88,1.93
"국수, 소면, 말린것, 삶은것",100,126,3.55,0.48,25.36,0
"국수, 중면, 말린것",100,366,10.4,1.21,73.94,3.21
"국수, 중면, 말린것, 삶은것",100,120,3.55,0.4,24.04,0
"라면, 말린것",100,445,8.23,14.28,69.05,0
"라면, 말린것, 삶은것",100,175,3.61,4.17,29.65,0
"마카로니, 말린것",100,380,12.2,0.4,77.1,-
"마카로니, 말린것, 삶은것",100,126,3.8,0.2,25.8,-
"스파게티면, 말린것",100,365,11.78,1.28,76.64,1.39
"스파게티면, 말린것, 삶은것",100,129,3.8,0,26.9,-
"우동면, 생것",100,164,3.33,1.25,33.09,0
"우동면, 생것, 삶은것",100,139,2.95,0.46,29.12,0
"중국국수면, 생것",100,249,8.6,1.2,55.7,1
"중국국수면, 생것, 삶은것",100,133,4.9,0.6,29.2,0.1
"중국국수면, 말린것",100,336,10.3,5.2,67.1,-0.9
"중국국수면, 말린것, 삶은것",100,132,5.2,0.6,28.6,-0.1
"중국국수면, 증숙, 생것",100,162,4.9,1.7,35.6,0.3
