식품명,1회제공량,에너지(㎉),단백질(g),지방(g),탄수화물(g)
가다랑어,100,-,-,-,-
가다랑어,100,-,24.3,-,-
가다랑어,100,127,25.9,1.8,-
가다랑어,100,-,-,-,0.9
가다랑어-간,100,-,-,-,-
가다랑어-내장,100,-,17.7,-,-
가다랑어-레토르트식품(기름담금),100,175,12.4,9.9,-
가다랑어-레토르트식품(조미),100,-,6.9,-,7.3
가다랑어-보통육,100,-,-,-,-
가다랑어-보통육,100,-,27.7,-,-
가다랑어-알,100,-,26,-,-
가다랑어-통조림(기름담금),100,209,20,13.1,-
가다랑어-포,100,372,69.3,7.7,7.7
가다랑어-혈합육,100,-,-,-,-
가다랑어-혈합육,100,-,-,-,-
가다랑어-혈합육,100,-,23.5,-,-
가라지,100,78,14.8,1.3,1.3
가래상어,100,99,22.2,0.5,-
가무락조개,100,-,-,-,-
가무락조개,100,-,-,-,1.1
가무락조개,100,77,14.1,0.6,-
가무락조개,100,-,12,-,-
가물치,100,-,-,-,-
가물치,100,-,-,-,0.8
가물치,100,-,20,-,-
가물치,100,86,18.2,0.8,-
가숭어,100,-,18.5,-,8
가시망둑,100,101,22.4,0.7,-
가시발새우,100,71,15.2,0.5,0.5
가시베도라치,100,-,-,-,2.5
가시베도라치,100,85,15.7,1.6,-
가재,100,126,15.5,5.1,-
각시가자미,100,84,16.8,1.4,-
각시돔,100,90,20.1,0.6,-
각시서대,100,95,18.4,1.8,1.8
각시서대,100,-,-,-,-
각시수랑,100,-,-,-,0.8
각시수랑,100,70,15,0.3,-
각시흰새우,100,85,15.7,1.6,-
갈가자미,100,90,18.3,1.3,-
갈고리흰오징어,100,-,15.3,-,-
갈고리흰오징어,100,72,15,0.6,-
갈고리흰오징어-근육,100,-,13.4,-,-
갈래곰보,100,12,0.9,0.2,-
갈래곰보,100,-,-,-,0.3
갈래곰보,100,-,16.6,-,-
갈래곰보,100,-,-,-,-
갈색고리돼지고둥,100,92,16.1,0.7,0.7
갈색띠매물고둥,100,78,15.1,0.2,0.2
갈색띠매물고둥,100,-,17.5,-,-
갈전갱이,100,-,-,-,-
갈전갱이,100,-,-,-,7
갈전갱이,100,111,19.6,3,-
갈치,100,-,-,-,-
갈치,100,149,18.5,7.5,-
갈치,100,-,-,-,4.9
갈치,100,-,-,-,-
갈치,100,-,18.2,-,-
갈치-속젓갈,100,195,8.4,3.6,-
갈치-얼간품,100,188,26.3,8.1,-
갈치-젓갈,100,176,8.6,3.2,-
갈파래,100,-,-,-,-
갈파래,100,-,32.1,-,-
감성돔,100,101,18.8,2.3,-
