식품명,1회제공량,에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g)
꿩불고기,500,368.8,33.5,8.5,39.7,16.9
닭갈비,400,595.61,45.9,25.8,44.9,21.2
닭갈비,300,558.47,45.5,31.6,23.1,8.5
닭꼬치,70,176.72,11.56,8.57,13.35,3.15
더덕구이,100,184,3.1,5.2,31.1,11.6
도미구이,250,397,61.1,16.5,2.1,0
돼지갈비,100,240.32,19.5,14.4,8.1,4.5
병어구이,250,488,54.6,30.8,0.2,0
불고기,150,395.29,34.4,25.2,7.8,7.9
붕장어소금구이,100,296.54,26,16.2,11.6,0.4
소양념갈비구이,300,989.15,60.1,71.6,26.2,13.9
양념왕갈비,150,480.81,27.1,35.3,13.7,6.8
양념장어구이,150,433.35,30.77,30.56,8.8,4.18
임연수구이,250,494,53.8,29.4,3.5,0
짚불구이곰장어,200,326.21,42.7,16.2,2.3,1.2
햄버그스테이크,200,457.7,26.96,29.65,20.76,5.33
황태구이,200,437.57,47.8,15.4,26.9,14.2
훈제오리,250,797.14,43.06,64.07,12.08,0.27
게국지,1100,415.25,44.9,12.1,31.7,10.8
곰치국,1000,419.29,54.3,11.8,23.9,2.8
굴국밥,650,683,42.4,17.8,88.4,0.3
김치국,450,89,5.4,2.8,10.5,2.9
떡만둣국,700,624.92,20.06,11.32,110.71,0.16
만둣국,700,434.05,21.43,17.44,47.83,3.05
맑은감자국,700,221,8.3,5.5,34.6,5.2
매생이국,500,119,10,2.8,13.4,0.4
무된장국,450,104,6.1,2.4,14.7,5.9
미소된장국,150,38,2.8,1.8,2.8,0.7
바지락조개국,550,157,22,3.1,10.1,1.3
뼈다귀해장국,1000,714,74.6,35.7,23.4,5.7
선지해장국,1000,312,49.3,5.4,16.7,3.9
소고기무국,400,123,14.2,4,7.8,3.5
소고기미역국,650,151,18.1,5.3,7.7,0
순대국,800,540.3,43.52,33.02,17.26,0
시래기된장국,450,99,6.7,3.1,11,1.3
올갱이국,600,144.26,13.7,4.2,13,1.6
우거지해장국,600,154.38,11.9,5.9,13.5,2.5
우렁된장국,500,245,24.6,7.7,19.2,3.6
탕국,250,92.15,13.18,4.27,0.24,0.08
홍합미역국,650,167,19.7,4.7,11.6,0
황태해장국,600,181.7,24.5,6.8,5.7,1.5
고추잡채,200,256.77,10.99,12.01,26.17,2.09
난자완스,200,346.25,21.63,20.35,19.15,0.49
도토리묵말이,1300,462.39,6.8,8.5,89.7,6.3
라조기,200,398.99,20.66,23.49,26.23,0.15
